#Iteration E_total(hartrees) DE(kcal/mol)
   0 -4334.94035   0.00
   1 -4334.94480  -2.79
   2 -4334.94970  -5.86
   3 -4334.95209  -7.37
   4 -4334.95459  -8.93
   5 -4334.95704 -10.47
   6 -4334.95821 -11.21
   7 -4334.95937 -11.93
   8 -4334.96065 -12.74
   9 -4334.96125 -13.11
  10 -4334.96191 -13.53
  11 -4334.96257 -13.94
  12 -4334.96304 -14.24
  13 -4334.96326 -14.38
  14 -4334.96381 -14.72
  15 -4334.96404 -14.87
  16 -4334.96433 -15.05
  17 -4334.96447 -15.14
  18 -4334.96480 -15.34
  19 -4334.96493 -15.42
  20 -4334.96517 -15.57
  21 -4334.96532 -15.67
  22 -4334.96569 -15.90
  23 -4334.96593 -16.05
  24 -4334.96612 -16.17
  25 -4334.96628 -16.27
  26 -4334.96641 -16.35
  27 -4334.96651 -16.41
  28 -4334.96658 -16.46
  29 -4334.96662 -16.48
  30 -4334.96671 -16.54
  31 -4334.96675 -16.57
  32 -4334.96679 -16.59
  33 -4334.96682 -16.61
  34 -4334.96687 -16.64
  35 -4334.96690 -16.66
  36 -4334.96696 -16.70
  37 -4334.96701 -16.73
  38 -4334.96707 -16.76
  39 -4334.96713 -16.80
  40 -4334.96716 -16.82
  41 -4334.96718 -16.84
  42 -4334.96720 -16.85
  43 -4334.96722 -16.86
  44 -4334.96723 -16.87
  45 -4334.96727 -16.89
  46 -4334.96729 -16.91
  47 -4334.96731 -16.92
  48 -4334.96734 -16.93
  49 -4334.96736 -16.95
  50 -4334.96742 -16.99
  51 -4334.96749 -17.03
  52 -4334.96755 -17.07
  53 -4334.96769 -17.15
  54 -4334.96782 -17.23
  55 -4334.96785 -17.25
  56 -4334.96791 -17.30
  57 -4334.96798 -17.34
  58 -4334.96801 -17.36
  59 -4334.96805 -17.38
  60 -4334.96807 -17.39
  61 -4334.96808 -17.40
  62 -4334.96809 -17.41
  63 -4334.96810 -17.41
  64 -4334.96812 -17.42
  65 -4334.96814 -17.44
  66 -4334.96820 -17.48
  67 -4334.96824 -17.50
  68 -4334.96829 -17.53
  69 -4334.96842 -17.61
  70 -4334.96855 -17.70
  71 -4334.96859 -17.72
  72 -4334.96864 -17.75
  73 -4334.96866 -17.76
  74 -4334.96868 -17.78
  75 -4334.96870 -17.79
  76 -4334.96873 -17.81
  77 -4334.96875 -17.82
  78 -4334.96878 -17.84
  79 -4334.96883 -17.87
  80 -4334.96888 -17.90
  81 -4334.96893 -17.93
  82 -4334.96897 -17.96
  83 -4334.96899 -17.97
  84 -4334.96902 -17.99
  85 -4334.96903 -18.00
  86 -4334.96905 -18.01
  87 -4334.96906 -18.01
  88 -4334.96907 -18.02
  89 -4334.96913 -18.06
  90 -4334.96915 -18.07
  91 -4334.96918 -18.09
  92 -4334.96923 -18.12
  93 -4334.96925 -18.14
  94 -4334.96927 -18.15
  95 -4334.96929 -18.16
  96 -4334.96930 -18.17
  97 -4334.96931 -18.17
  98 -4334.96933 -18.18
  99 -4334.96934 -18.19
 100 -4334.96936 -18.20
 101 -4334.96938 -18.22
 102 -4334.96942 -18.24
 103 -4334.96946 -18.27
 104 -4334.96950 -18.29
 105 -4334.96954 -18.32
 106 -4334.96960 -18.36
 107 -4334.96965 -18.39
 108 -4334.96970 -18.42
 109 -4334.96977 -18.46
 110 -4334.96986 -18.52
 111 -4334.96998 -18.59
 112 -4334.97012 -18.68
 113 -4334.97035 -18.82
 114 -4334.97049 -18.91
 115 -4334.97081 -19.11
 116 -4334.97105 -19.26
 117 -4334.97111 -19.30
 118 -4334.97117 -19.34
 119 -4334.97119 -19.36
 120 -4334.97123 -19.38
 121 -4334.97124 -19.39
 122 -4334.97126 -19.40
 123 -4334.97128 -19.41
 124 -4334.97130 -19.42
 125 -4334.97131 -19.43
 126 -4334.97132 -19.43
 127 -4334.97134 -19.45
 128 -4334.97136 -19.46
 129 -4334.97138 -19.47
 130 -4334.97139 -19.48
 131 -4334.97141 -19.49
 132 -4334.97142 -19.49
 133 -4334.97143 -19.50
 134 -4334.97145 -19.51
 135 -4334.97148 -19.54
 136 -4334.97150 -19.55
 137 -4334.97152 -19.56
 138 -4334.97157 -19.59
 139 -4334.97163 -19.63
 140 -4334.97166 -19.64
 141 -4334.97167 -19.65
 142 -4334.97167 -19.66
 143 -4334.97168 -19.66
 144 -4334.97169 -19.66
 145 -4334.97169 -19.67
